char,pinyin_main,strokes_modern,radical,structure,wubi
一,yī,1,一,独体,g
乙,yǐ,1,乙,独体,nnl
丁,dīnɡ,2,一,独体,sgh
七,qī,2,一,独体,ag
乂,yì,2,丿,独体,qty
乃,nǎi,2,丿,独体,etn
乜,niè,2,乙,独体,nnv
九,jiǔ,2,丿,独体,vt
了,le,2,乙,独体,b
二,èr,2,二,独体,fg
人,rén,2,人,独体,w
儿,ér,2,儿,独体,qt
入,rù,2,入,独体,ty
八,bā,2,八,独体,wty
几,jǐ,2,几,独体,mt
刀,dāo,2,刀,包围,vn
刁,diāo,2,刀,独体,ngd
力,lì,2,力,独体,lt
匕,bǐ,2,匕,独体,xtn
十,shí,2,十,独体,fgh
卜,bo,2,卜,独体,hhy
厂,chǎnɡ,2,厂,独体,dgt
又,yòu,2,又,独体,ccc
万,wàn,3,一,独体,dnv
丈,zhànɡ,3,一,独体,dyi
三,sān,3,一,独体,dg
上,shànɡ,3,一,独体,h
下,xià,3,一,独体,gh
与,yǔ,3,一,独体,gn
个,ɡè,3,丨,独体,wh
丫,yā,3,丨,独体,uhk
丸,wán,3,丿,独体,vyi
久,jiǔ,3,丿,独体,qy
么,me,3,丿,独体,tc
义,yì,3,丶,独体,yq
之,zhī,3,丿,独体,pp
乞,qǐ,3,乙,独体,tnb
也,yě,3,乙,独体,bn
习,xí,3,乙,独体,nu
乡,xiānɡ,3,乙,独体,xte
亍,chù,3,二,独体,fhk
于,yú,3,二,独体,gf
亏,kuī,3,二,独体,fnv
亡,wánɡ,3,亠,独体,ynv
亿,yì,3,亻,左右,wn
伋,fán,3,人,独体,weyy
兀,wū,3,儿,上下,gqv
凡,fán,3,几,独体,my
刃,rèn,3,刀,独体,vyi
勺,sháo,3,勹,独体,qyi
千,qiān,3,十,上下,tfk
卫,wèi,3,卩,独体,bg
叉,chā,3,又,包围,cyi
及,jí,3,又,独体,ey
口,kǒu,3,口,独体,kkkk
土,tǔ,3,土,独体,ffff
士,shì,3,士,独体,fghg
夕,xī,3,夕,独体,qtny
大,dà,3,大,独体,dd
女,nǚ,3,女,独体,vvv
子,zǐ,3,子,独体,bb
孑,jié,3,子,独体,bnhg
孓,jué,3,子,独体,byi
寸,cùn,3,寸,独体,fghy
小,xiǎo,3,小,独体,ih
尢,yóu,3,尢,独体,dnv
尸,shī,3,尸,独体,nngt
山,shān,3,山,独体,mmm
川,chuān,3,川,独体,kthh
工,ɡōnɡ,3,工,独体,a
己,jǐ,3,己,独体,nng
已,yǐ,3,己,独体,nnnn
巳,sì,3,巳,独体,nngn
巾,jīn,3,巾,独体,mhk
干,ɡàn,3,干,独体,fggh
幺,yāo,3,幺,独体,xnny
广,ɡuǎnɡ,3,广,独体,yygt
弋,yì,3,弋,独体,agny
弓,ɡōnɡ,3,弓,独体,xng
彳,chì,3,彳,上下,ttth
才,cái,3,扌,独体,ft
浭,ɡēnɡ,3,氵,独体,igjq
不,bù,4,一,独体,i
丏,miǎn,4,一,上下,ghnn
丐,ɡài,4,一,独体,ghn
丑,chǒu,4,一,独体,nfd
专,zhuān,4,一,独体,fny
中,zhōnɡ,4,丨,独体,k
丰,fēnɡ,4,丨,独体,dh
丹,dān,4,丶,独体,myd
为,wéi,4,丶,独体,o
乌,wū,4,丿,独体,qng
乏,fá,4,丿,独体,tpi
书,shū,4,乛,独体,nnh
予,yǔ,4,亅,独体,cbj
云,yún,4,二,独体,fcu
互,hù,4,二,独体,gx
亓,qí,4,二,独体,fjj
五,wǔ,4,二,独体,gg
井,jǐnɡ,4,二,独体,fjk
亢,kànɡ,4,亠,上下,ymb
什,shí,4,亻,左右,wfh
仁,rén,4,亻,左右,wfg
仂,lè,4,亻,左右,wln
仃,dīnɡ,4,亻,左右,wsh
仄,zè,4,人,包围,dwi
仅,jǐn,4,亻,左右,wcy
仆,pú,4,亻,左右,why
仇,chóu,4,亻,左右,wvn
仉,zhǎnɡ,4,亻,左右,wmn
今,jīn,4,人,上下,wynb
介,jiè,4,人,上下,wj
仍,rénɡ,4,亻,左右,we
从,cónɡ,4,人,左右,ww
仑,lún,4,人,上下,wxb
仓,cānɡ,4,人,上下,wbb
以,yǐ,4,人,左右,c
佖,bì,4,人,独体,wntt
允,yǔn,4,儿,独体,cq
元,yuán,4,儿,独体,fqb
公,ɡōnɡ,4,八,上下,wc
六,liù,4,八,上下,uy
兮,xī,4,八,上下,wgnb
内,nèi,4,冂,独体,mw
冈,ɡānɡ,4,冂,包围,mqi
冗,rǒnɡ,4,冖,上下,pmb
凤,fènɡ,4,几,包围,mc
凶,xiōnɡ,4,凵,包围,qb
分,fēn,4,刀,上下,wv
切,qiē,4,刀,左右,av
刈,yì,4,刂,左右,qjh
劝,quàn,4,力,左右,cl
办,bàn,4,力,独体,lw
勾,ɡōu,4,勹,包围,qci
勿,wù,4,勹,包围,qre
匀,yún,4,勹,包围,qu
化,huà,4,匕,左右,wx
匹,pǐ,4,匚,包围,aqv
区,qū,4,匚,包围,aq
卅,sà,4,十,独体,gkk
升,shēnɡ,4,十,独体,tak
午,wǔ,4,十,独体,tfj
卞,biàn,4,卜,上下,yhu
卬,yánɡ,4,卩,左右,qbh
厄,è,4,厂,包围,dbv
厅,tīnɡ,4,厂,包围,ds
历,lì,4,厂,包围,dl
友,yǒu,4,又,包围,dc
双,shuānɡ,4,又,左右,cc
反,fǎn,4,又,包围,rc
坒,bì,4,土,上下,xxff
埗,bù,4,土,左右,fhit
堐,yá,4,土,独体,fdff
壬,rén,4,士,独体,tfd
天,tiān,4,大,上下,gd
太,tài,4,大,独体,dy
夫,fū,4,大,独体,fw
夬,guài,4,大,品字,nwi
夭,yāo,4,大,独体,tdi
孔,kǒnɡ,4,子,左右,bnn
少,shǎo,4,小,上下,it
尤,yóu,4,尢,独体,dnv
尹,yǐn,4,尸,左右,vte
尺,chǐ,4,尸,独体,nyi
屯,tún,4,屮,独体,gb
岠,jù,4,山,独体,mang
巨,jù,4,工,独体,and
巴,bā,4,巳,独体,cnh
币,bì,4,巾,品字,tmh
帨,shuì,4,巾,独体,mhuq
幻,huàn,4,幺,左右,xnn
廿,niàn,4,廾,独体,agh
开,kāi,4,廾,独体,ga
引,yǐn,4,弓,左右,xh
心,xīn,4,心,独体,ny
忆,yì,4,忄,左右,nn
悈,kè,4,忄,独体,naah
戈,ɡē,4,戈,独体,agnt
户,hù,4,户,独体,yne
手,shǒu,4,手,独体,rt
扎,zhā,4,扌,左右,rnn
支,zhī,4,支,上下,fc
文,wén,4,文,独体,yygy
斗,dòu,4,斗,独体,ufk
斤,jīn,4,斤,独体,rtt
方,fānɡ,4,方,独体,yy
无,wú,4,无,独体,fq
日,rì,4,日,独体,jjjj
曰,yuē,4,曰,独体,jhng
月,yuè,4,月,独体,eee
木,mù,4,木,独体,ssss
欠,qiàn,4,欠,独体,qw
止,zhǐ,4,止,独体,hh
歹,dǎi,4,歹,独体,gqi
殳,shū,4,殳,上下,mcu
毋,wú,4,毋,独体,xde
毌,guàn,4,毋,品字,xfk
比,bǐ,4,比,左右,xx
毛,máo,4,毛,独体,tfn
氏,shì,4,氏,独体,qa
气,qì,4,气,独体,rnb
水,shuǐ,4,水,独体,ii
沘,yú,4,氵,独体,ixxn
且,qiě,5,一,独体,eg
丕,pī,5,一,上下,gigf
世,shì,5,一,独体,an
丘,qiū,5,丿,独体,rgd
丙,bǐnɡ,5,一,独体,gmw
业,yè,5,业,独体,og
丛,cónɡ,5,一,上下,wwg
东,dōnɡ,5,一,独体,ai
丝,sī,5,一,上下,xxg
主,zhǔ,5,丶,独体,y
乍,zhà,5,丿,独体,thf
乎,hū,5,丿,独体,tuh
乐,lè,5,丿,独体,qi
仔,zǎi,5,亻,左右,wbg
仕,shì,5,亻,左右,wfg
他,tā,5,亻,左右,wb
仗,zhànɡ,5,亻,左右,wdyy
付,fù,5,亻,左右,wfy
仙,xiān,5,亻,左右,wm
仝,tónɡ,5,人,上下,waf
仞,rèn,5,亻,左右,wvy
仟,qiān,5,亻,左右,wtfh
仡,yì,5,亻,左右,wtn
代,dài,5,亻,左右,wa
令,lìnɡ,5,人,上下,wyc
仨,sā,5,亻,左右,wdg
仪,yí,5,亻,左右,wyq
仫,mù,5,亻,左右,wtcy
们,mén,5,亻,左右,wu
兄,xiōnɡ,5,儿,上下,kqb
兰,lán,5,乺,上下,uff
冉,rǎn,5,冂,独体,mfd
册,cè,5,丿,独体,mm
写,xiě,5,冖,上下,pgn
冬,dōnɡ,5,冫,上下,tuu
冯,fénɡ,5,冫,左右,uc
凸,tū,5,凵,独体,hgm
凹,āo,5,凵,独体,mmgd
出,chū,5,凵,独体,bm
击,jī,5,凵,独体,fmk
刊,kān,5,刂,左右,fjh
刍,chú,5,刀,上下,qvf
剋,jī,5,刂,左右,dqjk
功,ɡōnɡ,5,力,左右,al
加,jiā,5,力,左右,lk
务,wù,5,力,上下,tl
劢,mài,5,力,左右,dnl
包,bāo,5,勹,包围,qn
匆,cōnɡ,5,勹,独体,qry
北,běi,5,匕,左右,ux
匜,yí,5,匚,独体,abv
匝,zā,5,匚,包围,amh
卉,huì,5,十,上下,faj
半,bàn,5,十,独体,uf
卟,bǔ,5,卜,左右,khy
占,zhàn,5,卜,上下,hk
卡,kǎ,5,卜,上下,hhu
卢,lú,5,卜,上下,hn
卮,zhī,5,厄,包围,rgbv
卯,mǎo,5,卩,左右,qtbh
印,yìn,5,卩,左右,qgb
厉,lì,5,厂,包围,ddn
去,qù,5,厶,上下,fcu
发,fā,5,又,独体,v
古,ɡǔ,5,口,上下,dgh
句,jù,5,口,包围,qkd
另,lìnɡ,5,口,上下,kl
叨,dāo,5,口,左右,kvn
叩,kòu,5,口,左右,kbh
只,zhī,5,口,上下,kw
叫,jiào,5,口,左右,kn
召,zhào,5,口,上下,vkf
叭,bā,5,口,左右,kwy
叮,dīnɡ,5,口,左右,ksh
可,kě,5,口,包围,sk
台,tái,5,口,上下,ck
叱,chì,5,口,左右,kxn
史,shǐ,5,口,独体,kq
右,yòu,5,口,包围,dk
叵,pǒ,5,口,包围,akd
叶,yè,5,口,左右,kf
号,hào,5,口,上下,kgn
司,sī,5,口,包围,ngk
叹,tàn,5,口,左右,kcy
叻,lè,5,口,左右,kln
叼,diāo,5,口,左右,kng
叽,jī,5,口,左右,kmn
咉,yānɡ,5,口,独体,kmdy
囚,qiú,5,囗,包围,lwi
四,sì,5,囗,包围,lh
圢,tǐng,5,土,独体,fsh
圣,shènɡ,5,土,上下,cff
坥,pú,5,土,独体,fegg
处,chǔ,5,夂,包围,th
外,wài,5,夕,左右,qh
央,yānɡ,5,大,独体,md
夯,hānɡ,5,大,上下,dlb
失,shī,5,大,独体,rw
头,tóu,5,大,独体,udi
奴,nú,5,女,左右,vcy
奶,nǎi,5,女,左右,ve
孕,yùn,5,子,上下,ebf
宁,nínɡ,5,宀,上下,ps
它,tā,5,宀,上下,px
宄,ɡuǐ,5,宀,上下,pvb
对,duì,5,寸,左右,cf
尔,ěr,5,小,独体,qiu
尕,ɡǎ,5,小,上下,eiu
尻,kāo,5,尸,包围,nvv
尼,ní,5,尸,包围,nx
屼,wù,5,山,独体,mgqn
峧,pínɡ,5,山,独体,muqy
左,zuǒ,5,工,包围,da
巧,qiǎo,5,工,左右,agnn
市,shì,5,巾,上下,ymhj
布,bù,5,巾,包围,dmh
帅,shuài,5,巾,左右,jmh
平,pínɡ,5,干,独体,gu
幼,yòu,5,幺,左右,xln
弁,biàn,5,廾,上下,caj
弗,fú,5,弓,独体,xjk
弘,hónɡ,5,弓,左右,xcy
归,ɡuī,5,彐,左右,jv
必,bì,5,心,独体,nt
忉,dāo,5,忄,左右,nvn
戊,wù,5,戈,左右,dny
戋,jiān,5,戈,独体,gggt
扑,pū,5,扌,左右,rhy
扒,bā,5,扌,左右,rwy
打,dǎ,5,扌,左右,rs
扔,rēnɡ,5,扌,左右,re
摏,chōnɡ,5,扌,独体,rdwv
斥,chì,5,斤,独体,ryi
旦,dàn,5,日,上下,jgf
旧,jiù,5,日,左右,hj
暶,xuán,5,日,独体,jyth
未,wèi,5,木,独体,fii
末,mò,5,木,独体,gs
本,běn,5,木,独体,sg
札,zhá,5,木,左右,snn
术,shù,5,木,独体,sy
朸,lì,5,木,独体,sln
正,zhènɡ,5,止,上下,ghd
母,mǔ,5,母,独体,xgu
氐,dī,5,氏,独体,qay
民,mín,5,氏,独体,n
氕,piē,5,气,包围,rntr
永,yǒnɡ,5,水,独体,yni
氾,fǎn,5,氵,左右,ibn
氿,guǐ,5,氵,左右,ivn
汀,tīnɡ,5,氵,左右,ish
汁,zhī,5,氵,左右,ifh
汇,huì,5,氵,左右,ian
汉,hàn,5,氵,左右,ic
丞,chénɡ,6,一,上下,big
丢,diu1,6,一,上下,tfc
乒,pīnɡ,6,丿,上下,rgt
乓,pānɡ,6,丿,上下,rgy
乔,qiáo,6,丿,上下,tdj
乩,jī,6,乙,左右,hkn
买,mǎi,6,乙,上下,nudu
争,zhēnɡ,6,刀,上下,qv
亘,ɡèn,6,二,独体,gjg
亚,yà,6,二,独体,gog
交,jiāo,6,亠,上下,uq
亥,hài,6,亠,独体,yntw
亦,yì,6,亠,独体,you
产,chǎn,6,亠,独体,u
仰,yǎnɡ,6,亻,左右,wqbh
仲,zhònɡ,6,亻,左右,wkhh
仳,pǐ,6,亻,左右,wxx
仵,wǔ,6,亻,左右,wtfh
件,jiàn,6,亻,左右,wrh
价,jià,6,亻,左右,wwj
任,rèn,6,亻,左右,wtf
份,fèn,6,亻,左右,wwv
仿,fǎnɡ,6,亻,左右,wyn
企,qǐ,6,人,上下,whf
伉,kànɡ,6,亻,左右,wym
伊,yī,6,亻,左右,wvt
伍,wǔ,6,亻,左右,wgg
伎,jì,6,亻,左右,wfcy
伏,fú,6,亻,左右,wdy
伐,fá,6,亻,左右,wat
休,xiū,6,亻,左右,ws
众,zhònɡ,6,人,品字,www
优,yōu,6,亻,左右,wdn
伙,huǒ,6,亻,左右,wo
会,huì,6,人,上下,wf
伛,yǔ,6,亻,左右,waqy
伞,sǎn,6,人,上下,wuh
伟,wěi,6,亻,左右,wfn
传,chuán,6,亻,左右,wfny
伢,yá,6,亻,左右,wah
伤,shānɡ,6,亻,左右,wtl
伥,chānɡ,6,亻,左右,wta
伦,lún,6,亻,左右,wwx
伧,chen,6,亻,左右,wwbn
伪,wěi,6,亻,左右,wyl
伫,zhù,6,亻,左右,wpg
似,sì,6,亻,左右,wny
佤,wǎ,6,亻,左右,wgn
佺,quán,6,亻,左右,wwgg
充,chōnɡ,6,儿,上下,yc
兆,zhào,6,儿,左右,iqv
先,xiān,6,儿,上下,tfq
光,ɡuānɡ,6,儿,上下,iq
全,quán,6,入,上下,wg
共,ɡònɡ,6,八,上下,aw
关,ɡuān,6,乺,上下,ud
兴,xīnɡ,6,八,上下,iw
再,zài,6,冂,上下,gmf
冔,xǔ,6,冂,独体,jkgf
军,jūn,6,冖,上下,pl
农,nónɡ,6,冖,独体,pei
冰,bīnɡ,6,冫,左右,ui
冱,hù,6,冫,左右,ugx
冲,chōnɡ,6,冫,左右,ukh
决,jué,6,冫,左右,un
凫,fú,6,几,上下,qynm
凼,dànɡ,6,凵,包围,ibk
刎,wěn,6,刂,左右,qrj
刑,xínɡ,6,刂,左右,gajh
划,huá,6,刂,左右,aj
刖,yuè,6,刂,左右,ejh
列,liè,6,刂,左右,gq
刘,liú,6,刂,左右,yj
则,zé,6,刂,左右,mj
刚,ɡānɡ,6,刂,左右,mqj
创,chuànɡ,6,刂,左右,wbj
劣,liè,6,力,上下,itl
动,dònɡ,6,力,左右,fcl
匈,xiōnɡ,6,勹,包围,qqb
匠,jiànɡ,6,匚,包围,ar
匡,kuānɡ,6,匚,包围,agd
华,huá,6,十,上下,wxf
协,xié,6,十,左右,fl
危,wēi,6,厄,上下,qdb
压,yā,6,厂,包围,dfy
厌,yàn,6,厂,包围,ddi
厍,shè,6,厂,包围,dlk
吁,yù,6,口,左右,kgfh
吃,chī,6,口,左右,ktn
各,ɡè,6,口,上下,tk
吆,yāo,6,口,左右,kxy
合,hé,6,口,上下,wgk
吉,jí,6,口,上下,fk
吊,diào,6,口,上下,kmh
同,tónɡ,6,口,包围,m
名,mínɡ,6,口,上下,qk
后,hòu,6,口,包围,rg
吏,lì,6,口,上下,gkq
吐,tǔ,6,口,左右,kfg
向,xiànɡ,6,口,包围,tm
吒,zhà,6,口,左右,ktan
吓,xià,6,口,左右,kgh
吕,lǚ,6,口,上下,kk
吖,ā,6,口,左右,kuh
吗,ma,6,口,左右,kcg
吸,xī,6,口,左右,ke
呇,qǐ,6,口,独体,ikf
咡,ér,6,口,独体,kbg
回,huí,6,囗,包围,lkd
囟,xìn,6,囗,独体,tlqi
因,yīn,6,囗,包围,ld
囡,nān,6,囗,包围,lvd
团,tuán,6,囗,包围,lft
在,zài,6,土,包围,d
圩,xū,6,土,左右,fgf
圪,ɡē,6,土,左右,ftn
圫,yù,6,土,独体,ftan
圬,wū,6,土,左右,ffn
圭,ɡuī,6,土,上下,fff
圮,pǐ,6,土,左右,fnn
圯,yí,6,土,左右,fnn
地,dì,6,土,左右,f
圲,qiān,6,土,独体,ftfh
圳,zhèn,6,土,左右,fkh
圹,kuànɡ,6,土,左右,fyt
场,chǎnɡ,6,土,左右,fnrt
圾,jī,6,土,左右,fe
坰,yù,6,土,独体,fmkg
垚,yáo,6,土,上下,ffff
垯,dá,6,土,左右,fdpy
垾,àn,6,土,独体,fjfh
塱,xì,6,土,上下,yvcf
墕,yàn,6,土,独体,fgho
壮,zhuànɡ,6,士,左右,ufg
夙,sù,6,夕,包围,mgq
多,duō,6,夕,上下,qq
夷,yí,6,大,独体,gxw
夸,kuā,6,大,上下,dfn
夹,jiā,6,大,独体,guw
夺,duó,6,大,上下,df
夼,kuǎnɡ,6,大,上下,dkj
奸,jiān,6,女,左右,vfh
她,tā,6,女,左右,vbn
好,hǎo,6,女,左右,vb
妁,shuò,6,女,左右,vqy
如,rú,6,女,左右,vk
妃,fēi,6,女,左右,vnn
妄,wànɡ,6,女,上下,ynvf
妆,zhuānɡ,6,女,左右,uv
妇,fù,6,女,左右,vv
妈,mā,6,女,左右,vc
姱,kuā,6,女,独体,vdfn
婍,qǐ,6,女,独体,vdsk
婘,quán,6,女,独体,vudb
嬿,yàn,6,女,独体,vauo
孖,mā,6,子,左右,bbg
字,zì,6,子,上下,pb
存,cún,6,子,包围,dhb
孙,sūn,6,子,左右,bi
宅,zhái,6,宀,上下,pta
宇,yǔ,6,宀,上下,pgf
守,shǒu,6,宀,上下,pf
安,ān,6,宀,上下,pv
宬,sì,6,宀,独体,pdnt
寺,sì,6,寸,上下,ff
寻,xún,6,寸,上下,vf
导,dǎo,6,寸,上下,nf
尖,jiān,6,小,上下,id
尘,chén,6,小,上下,iff
尥,liào,6,尢,包围,dnq
尧,yáo,6,兀,上下,atgq
尽,jìn,6,尸,上下,nyu
屃,xì,6,尸,包围,nmi
屹,yì,6,山,左右,mtnn
屺,qǐ,6,山,左右,mnn
屿,yǔ,6,山,左右,mgn
岁,suì,6,山,上下,mqu
岂,qǐ,6,山,上下,mn
岌,jí,6,山,上下,meyu
州,zhōu,6,川,独体,ytyh
巡,xún,6,巛,包围,vp
巩,ɡǒnɡ,6,工,左右,amy
帆,fān,6,巾,左右,mhm
师,shī,6,巾,左右,jgm
年,nián,6,干,上下,rh
并,bìnɡ,6,干,上下,ua
庄,zhuānɡ,6,广,包围,yfd
庆,qìnɡ,6,广,包围,yd
延,yán,6,廴,包围,thp
廷,tínɡ,6,廴,包围,tfpd
异,yì,6,廾,上下,naj
式,shì,6,弋,包围,aa
弛,chí,6,弓,左右,xb
当,dānɡ,6,彐,上下,iv
忏,chàn,6,忄,左右,ntfh
忖,cǔn,6,忄,左右,nfy
忙,mánɡ,6,忄,左右,nynn
忺,xiān,6,忄,独体,nqwy
戌,xū,6,戈,独体,dgn
戍,shù,6,戈,独体,dynt
戎,rónɡ,6,戈,包围,ade
戏,xì,6,戈,左右,ca
成,chénɡ,6,戈,独体,dn
托,tuō,6,扌,左右,rta
扛,kánɡ,6,扌,左右,rag
扞,gǎn,6,扌,独体,rfh
扣,kòu,6,扌,左右,rk
扦,qiān,6,扌,左右,rtfh
执,zhí,6,扌,左右,rvy
扩,kuò,6,扌,左右,ry
扪,mén,6,扌,左右,run
扫,sǎo,6,扌,左右,rv
扬,yánɡ,6,扌,左右,rnr
收,shōu,6,攵,左右,nh
旨,zhǐ,6,日,上下,xj
早,zǎo,6,日,上下,jh
旬,xún,6,日,包围,qj
旭,xù,6,日,包围,vj
旮,ɡā,6,日,上下,vjf
旯,lá,6,日,上下,jvb
曲,qǔ,6,曰,独体,ma
曳,yè,6,曰,独体,jxe
有,yǒu,6,月,上下,e
朱,zhū,6,木,独体,ri
朳,bā,6,木,独体,swy
朴,pǔ,6,木,左右,shy
朵,duǒ,6,木,上下,ms
机,jī,6,木,左右,sm
朽,xiǔ,6,木,左右,sgnn
杀,shā,6,木,上下,qsu
杂,zá,6,木,上下,vs
权,quán,6,木,左右,sc
杄,qiān,6,木,独体,stfh
枅,jī,6,木,独体,sgah
次,cì,6,欠,左右,uqw
欢,huān,6,欠,左右,cqw
此,cǐ,6,止,左右,hx
死,sǐ,6,歹,包围,gqx
毕,bì,6,比,上下,xxf
氖,nǎi,6,气,包围,rne
氘,dāo,6,气,包围,rnj
汆,cuān,6,水,上下,tyiu
汊,chà,6,氵,左右,icyy
汋,zhuó,6,氵,独体,iqyy
汐,xī,6,氵,左右,iqy
汔,qì,6,氵,左右,itn
汕,shàn,6,氵,左右,imh
汗,hàn,6,氵,左右,ifh
汛,xùn,6,氵,左右,inf
汜,sì,6,氵,左右,inn
汝,rǔ,6,氵,左右,ivg
江,jiānɡ,6,氵,左右,ia
池,chí,6,氵,左右,ib
污,wū,6,氵,左右,ifn
汤,tānɡ,6,氵,左右,inr
汲,jí,6,氵,左右,iey
泃,xù,6,氵,左右,iqkg
洭,kuānɡ,6,氵,独体,iagg
涐,é,6,氵,独体,itrt
两,liǎnɡ,7,一,独体,gmww
严,yán,7,一,上下,god
串,chuàn,7,丨,独体,kkh
丽,lì,7,丶,上下,gmy
乱,luàn,7,乙,左右,tdn
亨,hēnɡ,7,亠,上下,ybj
亩,mǔ,7,亠,上下,ylf
伭,xián,7,亻,独体,wyxy
伯,bó,7,亻,左右,wr
估,ɡū,7,亻,左右,wd
伲,nì,7,亻,左右,wnx
伴,bàn,7,亻,左右,wuf
伶,línɡ,7,亻,左右,wwyc
伸,shēn,7,亻,左右,wjh
伺,sì,7,亻,左右,wng
伽,ɡā,7,亻,左右,wlk
伾,pī,7,亻,左右,wgig
佁,yǐ,7,亻,独体,wckg
佃,diàn,7,亻,左右,wl
但,dàn,7,亻,左右,wjg
位,wèi,7,亻,左右,wug
低,dī,7,亻,左右,wqa
住,zhù,7,亻,左右,wygg
佐,zuǒ,7,亻,左右,wda
佑,yòu,7,亻,左右,wdk
体,tǐ,7,亻,左右,wsg
何,hé,7,亻,左右,wsk
佗,tuó,7,亻,左右,wpx
佘,shé,7,人,上下,wfiu
余,yú,7,人,上下,wtu
佚,yì,7,亻,左右,wrw
佛,fó,7,亻,左右,wxj
作,zuò,7,亻,左右,wt
佝,ɡōu,7,亻,左右,wqk
佞,nìnɡ,7,亻,左右,wfv
佟,tónɡ,7,亻,左右,wtuy
你,nǐ,7,亻,左右,wq
佣,yònɡ,7,亻,左右,weh
佥,qiān,7,人,上下,wgif
侂,tuō,7,人,独体,wyta
俫,lái,7,人,独体,wgoy
俵,shèn,7,人,独体,wgey
倕,zhuì,7,人,独体,wtgf
克,kè,7,十,上下,dq
免,miǎn,7,刀,上下,qkq
兑,duì,7,儿,上下,ukqb
兕,sì,7,儿,上下,mmgq
兵,bīnɡ,7,八,上下,rgw
况,kuànɡ,7,冫,左右,ukq
冶,yě,7,冫,左右,uck
冷,lěnɡ,7,冫,左右,uwyc
冻,dònɡ,7,冫,左右,uai
初,chū,7,刀,左右,puv
删,shān,7,刂,左右,mmgj
判,pàn,7,刂,左右,udjh
刨,páo,7,刂,左右,qnjh
利,lì,7,刂,左右,tjh
别,bié,7,刂,左右,klj
刭,jǐnɡ,7,刂,左右,cajh
助,zhù,7,力,左右,egl
努,nǔ,7,力,上下,vcl
劫,jié,7,力,左右,fcln
劬,qú,7,力,左右,qkl
劭,shào,7,力,左右,vkl
励,lì,7,力,左右,ddnl
劲,jìn,7,力,左右,cal
劳,láo,7,力,上下,apl
劼,jié,7,力,左右,fkln
匣,xiá,7,匚,包围,alk
医,yī,7,匚,包围,atd
卣,yǒu,7,卜,独体,hln
卤,lǔ,7,卜,独体,hl
即,jí,7,卩,左右,vcb
却,què,7,卩,左右,fcb
卵,luǎn,7,卩,左右,qyt
县,xiàn,7,厶,上下,egc
君,jūn,7,口,上下,vtkd
吝,lìn,7,口,上下,ykf
吞,tūn,7,口,上下,gdk
吟,yín,7,口,左右,kwyn
吠,fèi,7,口,左右,kdy
吡,bǐ,7,口,左右,kxx
吣,qìn,7,口,左右,kny
否,fǒu,7,口,上下,gik
吧,bā,7,口,左右,kc
吨,dūn,7,口,左右,kgb
吩,fēn,7,口,左右,kwv
含,hán,7,口,上下,wynk
听,tīnɡ,7,口,左右,kr
吭,kēnɡ,7,口,左右,kym
吮,shǔn,7,口,左右,kcq
启,qǐ,7,口,包围,ynk
吱,zī,7,口,左右,kfc
吲,yǐn,7,口,左右,kxh
吴,wú,7,口,上下,kgd
吵,chǎo,7,口,左右,ki
吹,chuī,7,口,左右,kqw
吻,wěn,7,口,左右,kqr
吼,hǒu,7,口,左右,kbn
吽,hōng,7,口,独体,krhh
吾,wú,7,口,上下,gkf
呀,ya,7,口,左右,ka
呃,e,7,口,左右,kdb
呆,dāi,7,口,上下,ks
呈,chénɡ,7,口,上下,kg
告,ɡào,7,口,上下,tfkf
呋,fū,7,口,左右,kfw
呐,nà,7,口,左右,kmw
呒,wǔ,7,口,左右,kfq
呓,yì,7,口,左右,kan
呔,tǎi,7,口,左右,kdyy
呕,ǒu,7,口,左右,kaqy
呖,lì,7,口,左右,kdl
呗,bei0,7,口,左右,kmy
员,yuán,7,口,上下,km
呙,ɡuō,7,口,上下,kmwu
呛,qiànɡ,7,口,左右,kwb
呜,wū,7,口,左右,kqng
囤,dùn,7,囗,包围,lgb
囫,hú,7,囗,包围,lqr
园,yuán,7,囗,包围,lfq
困,kùn,7,囗,包围,ls
囱,cōng,7,囗,独体,tlqi
围,wéi,7,囗,包围,lfnh
囵,lún,7,囗,包围,lwxv
圻,qí,7,土,左右,frh
址,zhǐ,7,土,左右,fhg
坂,bǎn,7,土,左右,frc
均,jūn,7,土,左右,fqu
坉,tún,7,土,独体,fgbn
坊,fānɡ,7,土,左右,fyn
坌,bèn,7,土,上下,wvff
坍,tān,7,土,左右,fmyg
坎,kǎn,7,土,左右,fqw
坏,huài,7,土,左右,fgi
坐,zuò,7,土,上下,wwf
坑,kēnɡ,7,土,左右,fym
块,kuài,7,土,左右,fnw
坚,jiān,7,土,上下,jcf
坛,tán,7,土,左右,ffc
坜,lì,7,土,左右,fdl
坝,bà,7,土,左右,fmy
坞,wù,7,土,左右,fqng
坟,fén,7,土,左右,fy
坠,zhuì,7,土,上下,bwff
埇,yǒnɡ,7,土,左右,fceh
堎,lènɡ,7,土,独体,ffwt
声,shēnɡ,7,士,上下,fnr
壳,ké,7,士,上下,fpm
奁,lián,7,大,上下,daq
奂,huàn,7,大,上下,qmd
妊,rèn,7,女,左右,vtf
妍,yán,7,女,左右,vga
妒,dù,7,女,左右,vynt
妓,jì,7,女,左右,vfc
妖,yāo,7,女,左右,vtd
妗,jìn,7,女,左右,vwy
妘,yún,7,女,独体,vfcy
